instancia	literatura	one	one_m	one_md	one_m_time	one_time	two	two_m	two_md	two_m_time	two_time	four	four_m	four_md	four_m_time	four_time	eight	eight_m	eight_md	eight_m_time	eight_time	ten	ten_m	ten_md	ten_m_time	ten_time	twenty	twenty_m	twenty_md	twenty_m_time	twenty_time	thirty	thirty_m	thirty_md	thirty_m_time	thirty_time	forty	forty_m	forty_md	forty_m_time	forty_time	fifty	fifty_m	fifty_md	fifty_m_time	fifty_time	sixty	sixty_m	sixty_md	sixty_m_time	sixty_time	one_g	one_m_g	one_md_g	two_g	two_m_g	two_md_g	four_g	four_m_g	four_md_g	eight_g	eight_m_g	eight_md_g	ten_g	ten_m_g	ten_md_g	twenty_g	twenty_m_g	twenty_md_g	thirty_g	thirty_m_g	thirty_md_g	forty_g	forty_m_g	forty_md_g	fifty_g	fifty_m_g	fifty_md_g	sixty_g	sixty_m_g	sixty_md_g
RC107	12230.48	12270.7000055313	13019.6266724269	13294.1000071764	216.815833333333	243.66	12230.48	12919.560006094	13288.8500074148	247.547666666667	270.14	12240.8000051975	12745.61667219	12322.0000009537	193.3106	198.1215	12230.48	12404.5233408531	12275.0500109196	246.883133333333	261126	12235.7000043392	12400.6433393002	12267.3500061035	223.459933333333	237646	12231.7000081539	12258.970006156	12262.2500071526	291.130466666667	314559	12230.48	12253.3100060066	12253.7500020266	278.1882	299228	12230.48	12251.2200067123	12249.2500056028	310.135166666667	316442	12230.48	12248.9900061448	12247.9000052214	313.917533333333	340992	12230.48	12250.7866736889	12249.5000097752	370.3473	391.1565	0.00328850589112704	0.0645229518732592	0.0869646986198743	0	0.0563412070576118	0.0865354432054031	0.000843793963730406	0.0421190887185156	0.00748294432873238	0	0.0142302952012558	0.00364417511982942	0.000426802900558161	0.0139130548678511	0.00301460008957261	9.9751453247611e-05	0.00232942665831328	0.0025976091823508	0	0.00186664840681309	0.00190262377490976	0	0.00169576392032676	0.00153469083820398	0	0.00151343251817109	0.00142431083828004	0	0.00166033333842078	0.00155513191429626
RC207	4061.14	4120.00000309944	4576.64000310898	4225.30000257492	98.6522333333333	104814	4092.00000619888	4478.61667055289	4198.95000302792	105.272166666667	105.9635	4118.30000424385	4296.94667110443	4183.60000765324	85.3832666666667	82.8485	4074.60000753403	4139.2666712602	4128.45000267029	105.585866666667	112368	4077.20000934601	4139.78667110602	4139.65000116825	88.1349666666667	87.4345	4086.40000247955	4116.66000358264	4115.60000407696	122.7042	121.3565	4075.80000925064	4109.5433385849	4112.60000705719	112.208933333333	111.43	4065.60000991821	4102.1033381621	4103.25000452995	114.1961	128.3025	4068.40000319481	4098.66333847046	4099.40000617504	125.199366666667	130.7355	4067.10000276566	4095.3800049146	4094.90000629425	129.592033333333	140579	0.0144934681147267	0.126934802323726	0.0404221481098707	0.00759885308038697	0.102797901710576	0.0339338222833775	0.0140748667231	0.0580641571343099	0.0301540965475793	0.00331434216353703	0.0192376207814055	0.0165741645622381	0.00395455693376933	0.0193656636082529	0.019332010511396	0.00621992900504609	0.0136710390635724	0.0134100287300998	0.00360982612040967	0.0119186579593168	0.0126713206284909	0.00109821624425963	0.0100866599432928	0.0103690108023739	0.00178767616846714	0.00923960722123809	0.00942100153529326	0.0014675689007656	0.00843113138542411	0.00831293831147169
C107	10828.94	10828.94	10833.0766686678	10828.94	12.9800666666667	5526	10828.94	10828.94	10828.94	7.56783333333333	7004	10828.94	10828.94	10828.94	5.07093333333333	3.8065	10828.94	10828.94	10828.94	4.1495	3.5305	10828.94	10828.94	10828.94	2.89086666666667	2329	10828.94	10828.94	10828.94	1.9556	1678	10828.94	10828.94	10828.94	2.69163333333333	1.7875	10828.94	10828.94	10828.94	2.3755	2265	10828.94	10828.94	10828.94	2.67046666666667	2254	10828.94	10828.94	10828.94	2.81896666666667	2358	0	0.000382001254766583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C206	3588.49	3588.49	3604.9400024573	3588.49	10109	8.8425	3588.49	3588.60333587329	3588.49	7.07783333333333	5514	3588.49	3588.49	3588.49	3.23233333333333	1982	3588.49	3588.49	3588.49	3.2817	2014	3588.49	3588.49	3588.49	2.3169	1366	3588.49	3588.49	3588.49	1.74676666666667	1.1645	3588.49	3588.49	3588.49	1.26313333333333	1042	3588.49	3588.49	3588.49	1.19956666666667	1.0905	3588.49	3588.49	3588.49	1.20366666666667	1.21	3588.49	3588.49	3588.49	1.44046666666667	1326	0	0.00458410151827127	0	0	3.15831654223252e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R110	11118.84	12105.1999938488	12491.9133305629	12177.2999976873	274.859833333333	287.0475	12092.9999961853	12410.4866638581	12152.2499961853	303816	321855	12100.6999969482	12267.4099965731	12136.8499975204	244.144233333333	250.7515	12085.5999965668	12125.049996376	12129.2999970317	300.496233333333	301.2525	12098.0999939442	12123.5699958563	12122.2999944687	276.673066666667	283.3015	12086.2999966145	12106.9099957784	12105.7999954224	334.374233333333	356.2465	12082.8999962807	12104.9133295298	12103.6499948502	352.2294	375008	12087.9999959469	12104.8333294153	12104.3999958038	333.552933333333	355.3685	12084.1999971867	12102.5999960343	12103.6499974728	354.836533333333	376788	12085.8999946117	12100.4499960264	12099.8499968052	409.345033333333	422.4835	0.0887106922888359	0.123490699620006	0.0951951820232452	0.0876134557368667	0.116167393708165	0.0929422490282532	0.0883059740897649	0.103299444597919	0.0915572125797697	0.0869479187187487	0.090495950690543	0.0908781848674582	0.0880721364768418	0.0903628432333126	0.090248622560329	0.0870108749306992	0.0888644854839535	0.0887646548940684	0.0867050876063213	0.0886849104339806	0.088571289347644	0.0871637685178386	0.0886777154285269	0.0886387425130529	0.086822006359176	0.0884768551426502	0.0885712895835144	0.0869748997747733	0.0882834896469736	0.0882295272533098
R209	3909.16	3964.09999549389	4016.89999692837	4015.24999606609	75.7470333333333	83.4955	3925.89999818802	3988.8366636912	3984.3999979496	93.7676666666667	99.3185	3928.99999904633	3970.5966635704	3962.49999511242	88.0401333333333	93439	3922.39999723434	3950.91999649207	3952.64999866486	104.1275	109654	3926.69999551773	3955.2799969991	3958.54999554157	96.3346	97.7245	3910.09999752045	3944.58332964579	3948.24999415874	114.331833333333	119441	3921.79999899864	3943.85333031813	3945.59999763966	104.1751	108.9305	3913.99999475479	3936.98333023389	3936.4499976635	108.333666666667	113.3885	3909.16	3934.50666365623	3935.04999661446	121.640533333333	121542	3917.69999718666	3935.18999667962	3933.69999694824	135.887833333333	143672	0.0140541690526581	0.0275609074400573	0.0271388216563389	0.00428224943159629	0.020382042098866	0.0192471011546215	0.00507525889099598	0.0157160780245383	0.0136448738635459	0.00338691617491856	0.0106826009915348	0.0111251518650698	0.00448689629427572	0.011797930245655	0.0126344267161162	0.000240460231979996	0.00906162184351442	0.00999958921066034	0.00323343096691926	0.00887488112999548	0.009321695105766	0.00123811631010023	0.00711747030919475	0.00698103880718571	0	0.00648391563820227	0.00662290533374339	0.00218461183135531	0.00665871867092271	0.00627756268565173
RC106	12424.73	13409.2000017166	14370.1433368047	14435.4000041485	252.934966666667	269.2635	13382.7000060081	14092.6800050418	14413.4500045776	271.950466666667	290498	13386.8000054359	14192.0833378315	14425.0000021458	228.790866666667	235.75	13382.7000060081	13978.8800045649	14394.5500030518	301.258933333333	303.1595	13389.1000037193	13910.0366705736	13920.3500058651	265.9331	296.1535	13381.8000035286	13572.4466712316	13415.200003624	321.1173	343.9145	13382.7000060081	13549.2900049527	13420.5500049591	310.349633333333	319.3965	13382.7000050545	13473.2100040277	13410.2500035763	313.4127	329381	13380.5000042915	13399.4433367729	13399.2500042915	337.661266666667	340.2525	13382.7000060081	13400.8433380763	13398.9500057697	369.9863	404305	0.0792347199268406	0.156575904410374	0.161828064203285	0.0771018771440626	0.134244366279328	0.160061426250521	0.0774318641480293	0.142244808364568	0.160991023720094	0.0771018771440626	0.125085213486725	0.158540266311764	0.0776169786964651	0.11954438209712	0.120374447240712	0.0770294407627848	0.0923735703899874	0.0797176279584315	0.0771018771440626	0.0905098142939725	0.0801482209238436	0.0771018770673064	0.0843865423254819	0.0793192289551788	0.0769248107839394	0.0784494581993265	0.0784338979029351	0.0771018771440626	0.0785621368091117	0.0784097526280032
RC206	4146.32	4225.39999866486	4578.57000215848	4357.25000309944	76.5726	78479	4156.80000400543	4364.32000290553	4278.75000166893	90.5110333333333	88228	4176.70000219345	4262.85666948954	4256.20000195503	68.4628333333333	71.4575	4191.70000362396	4251.02333709399	4243.5500023365	82.7584	91.6425	4167.40000152588	4222.93333652814	4220.85000038147	76.7028333333333	77.6375	4155.69999790192	4203.48666973114	4207.40000128746	91.3072	94978	4146.32	4193.39000228246	4199.79999947548	90.4321666666667	87.1125	4154.70000219345	4199.57000238101	4199.95000338554	98.1328666666667	103.0625	4161.50000047684	4201.78666911125	4203.50000405312	98.4029333333333	104832	4146.32	4187.4566690286	4192.30000305176	103.318566666667	108421	0.0190723336994868	0.104249069574582	0.0508716170241182	0.00252754346153515	0.0525767434509464	0.0319391657346588	0.00732697963337399	0.0281060481317271	0.0265006082393623	0.0109446457639455	0.0252521120159536	0.0234497101855386	0.00508402668532077	0.0184774297517179	0.0179749754918747	0.00226224649856181	0.0137873270107325	0.0147311353893237	0	0.0113522357855788	0.0128981842876284	0.00202106981454669	0.0128427141129983	0.0129343618885045	0.0036610778899934	0.0133773247388654	0.0137905429520915	0	0.00992124800512271	0.0110893522573651
C106	10828.94	10828.94	10832.9066686948	10828.94	12.7150666666667	9.5005	10828.94	10839.1400020599	10828.94	13.0987	6.8715	10828.94	10829.0133353392	10828.94	13.5971	8138	10828.94	10828.9666686217	10828.94	9.38563333333333	6.6935	10828.94	10828.94	10828.94	7.35426666666667	6.5145	10828.94	10828.94	10828.94	4.67486666666667	3384	10828.94	10828.94	10828.94	5.8391	5.9545	10828.94	10828.94	10828.94	4.19283333333333	3384	10828.94	10828.94	10828.94	6.55253333333333	6202	10828.94	10828.94	10828.94	5.33206666666667	4216	0	0.000366302583153388	0	0	0.000941920636732246	0	0	6.7721623010123e-06	0	0	2.46271765272164e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C205	3588.88	3588.88	3603.37333586216	3588.88	9.80863333333333	7.6995	3588.88	3589.05666939418	3588.88	4.78446666666667	3.2485	3588.88	3588.88	3588.88	2.89966666666667	1.7695	3588.88	3588.88	3588.88	1.79283333333333	1445	3588.88	3588.88	3588.88	2.13093333333333	1462	3588.88	3588.88	3588.88	1.09503333333333	879	3588.88	3588.88	3588.88	1.0782	941	3588.88	3588.88	3588.88	0.996066666666667	915	3588.88	3588.88	3588.88	1.06213333333333	1.0195	3588.88	3588.88	3588.88	1.08336666666667	1.0895	0	0.00403840079973688	0	0	4.92268881029599e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
